Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DRAGAN CRNOGORAC;SRÐAN JEREMIÆ;RADO LAZIÆ;TATJANA MIRIÆ
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;007;VINKOVCI;CRVENI KRIŽ;TRG BANA J.ŠOKÈEVIÆA 2;3;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;008;VINKOVCI;ZAVOD ZA ZAPOŠLJAVANJE VINKOVCI;J.DALMATINCA 27;15;1;1;1;0;0;1;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;009;VINKOVCI;"III MJESNI ODBOR ""CENTAR"" VINKOVCI";GLAGOLJAŠKA 13;17;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;010;VINKOVCI;GRADSKA UPRAVA GRADA VINKOVACA;BANA J.JELAÈIÆA 1;25;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;011;VINKOVCI;"IV.MJESNI ODBOR ""KOLODVOR""";KRALJA ZVONIMIRA 101;23;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;012;VINKOVCI;UDRUŽENJE UMIROVLJENIKA;TRG J. RUNJANINA 11;19;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;013;VINKOVCI;UPRAVA ZA CESTE VUKOVARSKO-SRIJEMSKE ŽUPANIJE,VINKOVCI;JOSIPA KOZARCA 10;12;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;014;VINKOVCI;"V. MJESNI ODBOR ""DVANAEST REDARSTVENIKA"" VINKOVCI";12 REDARSTVENIKA 1A;26;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;015;VINKOVCI;"DJEÈJI VRTIÆ ""PÈELICA""";DVANAEST REDARSTVENIKA 20;7;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;016;VINKOVCI;DJEÈJI VRTIÆ EDEN PODRUŽNICA SRCE MARIJINO;ŠKOLSKA 35;20;1;1;1;0;0;1;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;017;VINKOVCI;"VI. MJESNI ODBOR ""VINKOVAÈKO NOVO SELO"" VINKOVCI";ŠKOLSKA 42;18;3;3;2;1;2;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;018;VINKOVCI;"VI. MJESNI ODBOR ""VINKOVAÈKO NOVO SELO"" VINKOVCI";ŠKOLSKA 42;46;1;1;1;0;0;0;0;1
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;019;VINKOVCI;"O.Š. ""BARTOLA KAŠIÆA""";B.KAŠIÆA 48;33;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;020;VINKOVCI;PLINARA ISTOÈNE SLAVONIJE (PIS);OHRIDSKA 17;20;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;021;VINKOVCI;O.Š.  A.G. MATOŠA VINKOVCI;OHRIDSKA 21;14;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;022;VINKOVCI;"DJEÈJI VRTIÆ ""STRIBOR""";J.J.STROSSMAYERA 7;10;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;023;VINKOVCI;"VII. MJESNI ODBOR ""LAPOVCI"" VINKOVCI";MATICE HRVATSKE 8;24;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;024;VINKOVCI;"POSLOVNI PROSTOR (DJEÈJA IGRAONICA ""KREATIVNI SVIJET"")";FRANA KRSTE FRANKOPANA 6 (BIVŠA DRVARSKA);20;3;3;3;0;0;0;0;3
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;025;VINKOVCI;"VIII. MJESNI ODBOR ""BAN JELAÈIÆ"" VINKOVCI";BANA J.JELAÈIÆA 11;23;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;026;VINKOVCI;"IX. MJESNI ODBOR ""ZAGREBAÈKI BLOK"" VINKOVCI";M.BRAŠNIÆA 2A;10;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;027;VINKOVCI;"HEP ""ELEKTRA"" VINKOVCI";KRALJA ZVONIMIRA 96;19;1;1;1;0;1;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;028;VINKOVCI;"HEP ""ELEKTRA"" VINKOVCI";KRALJA ZVONIMIRA 96;15;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;029;VINKOVCI;"X. MJESNI ODBOR ""SLAVIJA"" VINKOVCI";ŠOKAÈKI ŠOR 1;21;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;030;VINKOVCI;"DILJ, D.D. POGON ""SLAVONKA"", VINKOVCI";KRALJA ZVONIMIRA 156;8;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;031;VINKOVCI;"XI. MJESNI ODBOR ""MALA BOSNA"" VINKOVCI";V.GORTANA 25B;6;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;032;MIRKOVCI;"XII. MJESNI ODBOR ""MIRKOVCI"" - MIRKOVCI";DUNAVSKA 1;471;54;54;53;1;19;27;3;4
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VINKOVCI;033;MIRKOVCI;"O.Š. ""NIKOLE TESLE"" MIRKOVCI";VUKOVARSKA 2;359;52;52;46;6;12;33;0;1
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;001;SOTIN;DOM KULTURE;ULICA DR. FRANJE TUÐMANA BR. 2;108;19;19;16;3;4;11;0;1
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;002;VUKOVAR;"OSNOVNA ŠKOLA ""MITNICA""";FRUŠKOGORSKA BR. 2;53;2;2;2;0;2;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;003;VUKOVAR;"OSNOVNA ŠKOLA ""MITNICA""";FRUŠKOGORSKA BR. 2;70;6;6;6;0;2;4;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;004;VUKOVAR;"OSNOVNA ŠKOLA ""MITNICA""";FRUŠKOGORSKA BR. 2;105;23;23;23;0;8;12;0;3
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;005;VUKOVAR;OSNOVNA ŠKOLA MITNICA;FRUŠKOGORSKA BR. 2;60;7;7;7;0;0;7;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;006;VUKOVAR;"OSNOVNA ŠKOLA ""ANTUNA BAUERA""";TRG MATIJE GUPCA 19;219;82;82;81;1;20;51;6;4
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;007;VUKOVAR;"OSNOVNA ŠKOLA ""ANTUNA BAUERA""";TRG MATIJE GUPCA 19;183;51;51;50;1;13;35;1;1
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;008;VUKOVAR;"OSNOVNA ŠKOLA ""ANTUNA BAUERA""";TRG MATIJE GUPCA 19;230;62;62;61;1;12;46;2;1
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;009;VUKOVAR;"OSNOVNA ŠKOLA ""ANTUNA BAUERA""";TRG MATIJE GUPCA 19;233;61;61;61;0;18;36;4;3
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;010;VUKOVAR;GIMNAZIJA VUKOVAR;ŠAMAC 2;215;58;57;54;3;12;38;0;4
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;011;VUKOVAR;GIMNAZIJA VUKOVAR;ŠAMAC 2;204;48;48;43;5;16;24;0;3
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;012;VUKOVAR;"OSNOVNA ŠKOLA ""JOSIPA MATOŠA""";PRERADOVIÆEVA BR. 40;285;90;90;88;2;25;57;4;2
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;013;VUKOVAR;"OSNOVNA ŠKOLA ""JOSIPA MATOŠA""";PRERADOVIÆEVA BR. 40;328;87;87;82;5;16;58;5;3
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;014;VUKOVAR;"OSNOVNA ŠKOLA ""JOSIPA MATOŠA""";PRERADOVIÆEVA BR. 40;323;99;98;95;3;29;58;2;6
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;015;VUKOVAR;"OSNOVNA ŠKOLA ""DRAGUTINA TADIJANOVIÆA""";204. VUKOVARSKE BRIGADE BR. 24 A;273;70;70;69;1;18;47;1;3
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;016;VUKOVAR;"OSNOVNA ŠKOLA ""DRAGUTINA TADIJANOVIÆA""";204. VUKOVARSKE BRIGADE BR. 24 A;352;98;98;98;0;44;41;6;7
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;017;VUKOVAR;"VELEUÈILIŠTE ""LAVOSLAVA RUŽIÈKE""";ŽUPANIJSKA BR. 50;219;46;46;41;5;16;21;2;2
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;018;VUKOVAR;"VELEUÈILIŠTE ""LAVOSLAVA RUŽIÈKE""";ŽUPANIJSKA BR. 50;219;60;60;59;1;15;38;5;1
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;019;VUKOVAR;"OSNOVNA ŠKOLA ""DRAGUTINA TADIJANOVIÆA"", PODRUÈNA ŠKOLA LUŽAC";LJUDEVITA POSAVSKOG BR. 16;321;89;88;79;9;18;53;6;2
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;020;VUKOVAR;"TEHNIÈKA ŠKOLA ""NIKOLE TESLE""";BLAGE ZADRE 4;434;74;74;71;3;13;50;4;4
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;021;VUKOVAR;"TEHNIÈKA ŠKOLA ""NIKOLE TESLE""";BLAGE ZADRE 4;293;70;70;66;4;15;50;1;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;022;VUKOVAR;"TEHNIÈKA ŠKOLA ""NIKOLE TESLE""";BLAGE ZADRE 4;402;68;68;67;1;22;39;3;3
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;023;VUKOVAR;"TEHNIÈKA ŠKOLA ""NIKOLE TESLE""";BLAGE ZADRE 4;313;76;76;70;6;18;45;2;5
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;024;VUKOVAR;EKONOMSKA ŠKOLA VUKOVAR;STJEPANA FILIPOVIÆA BR. 6;264;91;91;88;3;21;62;1;4
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;025;VUKOVAR;"MJESNI ODBOR ""ALOJZIJA STEPINCA""";TRPINJSKA CESTA  84;210;38;38;37;1;8;26;0;3
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;026;VUKOVAR;"MJESNI ODBOR ""ALOJZIJA STEPINCA""";TRPINJSKA CESTA 84;176;45;45;42;3;14;25;1;2
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;027;VUKOVAR;"MJESNI ODBOR ""ALOJZIJA STEPINCA""";TRPINJSKA CESTA 84;140;30;30;30;0;4;24;1;1
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;028;VUKOVAR;"OSNOVNA ŠKOLA ""BLAGE ZADRE""";MARKA MARULIÆA BR. 2;297;79;79;75;4;22;50;0;3
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;029;VUKOVAR;"OSNOVNA ŠKOLA ""BLAGE ZADRE""";MARKA MARULIÆA BR. 2;320;76;76;71;5;14;54;0;3
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;030;VUKOVAR;"OSNOVNA ŠKOLA ""SINIŠE GLAVAŠEVIÆA""";DR. A. STARÈEVIÆA BR.5;300;82;81;81;0;17;58;2;4
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;031;VUKOVAR;"OSNOVNA ŠKOLA ""SINIŠE GLAVAŠEVIÆA""";DR. A. STARÈEVIÆA BR.5;498;127;127;117;10;22;83;6;6
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;VUKOVAR;032;VUKOVAR;"OSNOVNA ŠKOLA ""BLAGE ZADRE"" PODRUÈNA ŠKOLA LIPOVAÈA";SVETE ANE BR. 24;147;60;60;58;2;11;45;1;1
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;001;ŽUPANJA;"OŠ ""IVAN KOZARAC"" I";DR. FRANJE RAÈKOG 30;8;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;002;ŽUPANJA;"OŠ ""IVAN KOZARAC"" II";DR.FRANJE RAÈKOG 30;6;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;003;ŽUPANJA;ZGRADA SREDNJIH ŠKOLA I;VELIKI KRAJ 42;8;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;004;ŽUPANJA;ZGRADA SREDNJIH ŠKOLA II;VELIKI KRAJ 42;0;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;005;ŽUPANJA;ZGRADA SREDNJIH ŠKOLA III;VELIKI KRAJ 42;9;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;006;ŽUPANJA;ŠUMARIJA I;DR.FRANJE RAÈKOG 34;9;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;007;ŽUPANJA;ŠUMARIJA II;DR.FRANJE RAÈKOG 34;20;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;008;ŽUPANJA;"KINO ""MLADOST"" I";STROSMAYEROVA 51;6;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;009;ŽUPANJA;"KINO ""MLADOST"" II";STROSSMAYEROVA 51;6;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;010;ŽUPANJA;"OSNOVNA ŠKOLA ""MATE LOVRAK"" I";A.STEPINCA 18;11;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;011;ŽUPANJA;"OSNOVNA ŠKOLA ""MATE LOVRAK"" II";A.STEPINCA 18;8;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;012;ŽUPANJA;"OSNOVNA ŠKOLA ""MATE LOVRAK"" III";A.STEPINCA 18;7;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;013;ŽUPANJA;"KINO ""KRISTAL""";ŠEÆERANA 62;11;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;grad;ŽUPANJA;014;ŽUPANJA;"PROSTORIJE NK ""ŽUPANJA 77""";M.ÆATIÆA;15;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;ANDRIJAŠEVCI;001;ANDRIJAŠEVCI;"OSNOVNA ŠKOLA ""IVANA BRLIÆ MAŽURANIÆ""";ŠKOLSKA 1;2;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;ANDRIJAŠEVCI;002;ANDRIJAŠEVCI;"OSNOVNA ŠKOLA ""IVANA BRLIÆ MAŽURANIÆ""";ŠKOLSKA 1;3;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;ANDRIJAŠEVCI;003;ANDRIJAŠEVCI;"OSNOVNA ŠKOLA ""IVANA BRLIÆ MAŽURANIÆ""";ŠKOLSKA 1;4;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;ANDRIJAŠEVCI;004;ANDRIJAŠEVCI;"OSNOVNA ŠKOLA ""IVANA BRLIÆ MAŽURANIÆ""";ŠKOLSKA 1;2;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;BABINA GREDA;001;BABINA GREDA;"ÈITAONICA ""NOVA SALA""";KRALJA TOMISLAVA BB;3;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;BABINA GREDA;002;BABINA GREDA;"ÈITAONICA ""ÈEVATOVO""";BANA J.JELAÈIÆA BB;7;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;BABINA GREDA;003;BABINA GREDA;"ÈITAONICA ""DONJA MALA""";VLADIMIRA NAZORA 42;2;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;BABINA GREDA;004;BABINA GREDA;"ÈITAONICA ""BERAVA""";BRAÆE RADIÆA 33;0;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;BABINA GREDA;005;BABINA GREDA;"ÈITAONICA ""JELAS""";MIJATA STOJANOVIÆA 116;0;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;BOGDANOVCI;001;BOGDANOVCI;ZGRADA OPÆINE;BANA JOSIPA JELAÈIÆA 1;6;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;BOGDANOVCI;002;PETROVCI;OSNOVNA ŠKOLA PETROVCI;BANA JOSIPA JELAÈIÆA 1;91;16;16;14;2;7;5;0;2
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;BOGDANOVCI;003;SVINJAREVCI;ZGRADA MJESNOG ODBORA (STARA OSNOVNA ŠKOLA);CRKVENA 4;44;19;19;17;2;8;9;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;BOROVO;001;BOROVO;"NASELJE ""CREPULJE""";B.MASLARIÆA 46;347;134;134;130;4;45;79;5;1
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;BOROVO;002;BOROVO;BOROVO;GLAVNA 79;487;186;186;173;13;29;137;7;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;BOROVO;003;BOROVO;"OSNOVNA ŠKOLA ""BOROVO""";TRG PALIH BORACA 30;1061;418;418;397;21;65;319;9;4
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;BOROVO;004;BOROVO;"DJEÈJI VRTIÆ ""ZLATOKOSA""";N. KOVAÈEVIÆA 2A;931;385;385;367;18;72;264;26;5
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;BOROVO;005;BOROVO;BOROVO;OZRENSKA 37;479;214;214;198;16;40;153;3;2
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;BOŠNJACI;001;BOŠNJACI;DOM KULTURE (PROSTORIJE KUD-A);TRG FRA B.T.LEAKOVIÆA 10;5;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;BOŠNJACI;002;BOŠNJACI;OPÆINA BOŠNJACI;TRG FRA B.T.LEAKOVIÆA 15;3;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;BOŠNJACI;003;BOŠNJACI;VATROGASNI DOM;TRG FRA B.T.LEAKOVIÆA 12;6;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;BOŠNJACI;004;BOŠNJACI;"OSNOVNA ŠKOLA ""FRA B.T.LEAKOVIÆ""";BRAÆE RADIÆA 38 A;4;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;CERNA;001;CERNA;"OSN. ŠKOLA ""MATIJA ANTUN RELJKOVIÆ""";ŠETALIŠTE DR. FRANJE TUÐMANA 3;8;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;CERNA;002;ŠIŠKOVCI;"OSN. ŠKOLA ""MATIJA ANTUN RELJKOVIÆ"" PODRUÈNA ŠKOLA ŠIŠKOVCI";J.KOZARCA 8;1;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;CERNA;003;CERNA;"OSN. ŠKOLA ""MATIJA ANTUN RELJKOVIÆ""";ŠETALIŠTE DR. FRANJE TUÐMANA 3;6;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;CERNA;004;CERNA;"OSN. ŠKOLA ""MATIJA ANTUN RELJKOVIÆ """;ŠETALIŠTE  DR.FRANJE TUÐMANA 3;7;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;DRENOVCI;001;DRENOVCI;OPÆINSKA  NARODNA KNJIŽNICA DRENOVCI;BRAÆE RADIÆA 2;18;0;0;0;0;0;0;0;0
16;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;opæina;DRENOVCI;002;DRENOVCI;"OSNOVNA ŠKOLA ""FRANJO HANAMAN"" DRENOVCI";ISTREV 2;37;0;0;0;0;0;0;0;0
