Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  MILORAD BATINIÆ;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA STRANKA UMIROVLJENIKA - HSU;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA SELJAÈKA STRANKA BRAÆE RADIÆ - HSS BRAÆE RADIÆ, BLOK UMIROVLJENICI ZAJEDNO - BUZ;HRVATSKA SELJAÈKA STRANKA - HSS;NARODNA STRANKA - REFORMISTI - REFORMISTI;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;011;KANIŽA;DRUŠTVENI DOM;KANIŽA;221;81;81;79;2;54;1;7;5;1;3;8
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;012;BEDENEC;VATROGASNI DOM - BIRALIŠTE I;BEDENEC;337;137;137;132;5;39;2;54;15;3;15;4
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;013;BEDENEC;VATROGASNI DOM - BIRALIŠTE II;BEDENEC;232;109;109;108;1;41;2;34;12;2;12;5
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;014;JEROVEC DONJI;DRUŠTVENI DOM JEROVEC DONJI;JEROVEC 80 C;359;177;177;176;1;43;6;84;13;5;15;10
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;015;JEROVEC GORNJI;DRUŠTVENI DOM JEROVEC GORNJI;JEROVEC 205;321;147;147;142;5;39;8;66;13;3;2;11
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;016;RIBIÆ BREG;KUÆA POK. VJEKOSLAVA PAHIÆA;RIBIÆ BREG 3;125;73;73;70;3;16;1;34;10;1;3;5
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;017;HORVATSKO;"PROSTORIJE ""ORION""";HORVATSKO 28;140;72;72;70;2;19;3;20;14;1;8;5
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;018;PRIGOREC;OSNOVNA ŠKOLA;PRIGOREC;426;181;181;172;9;76;1;29;5;41;13;7
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;019;PUNIKVE;DRUŠTVENI DOM;PUNIKVE;352;179;179;176;3;84;0;47;20;5;12;8
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;020;IVANEÈKO NASELJE;"BIVŠA TISKARA ""PIMS""";IVANEÈKO NASELJE 7;213;101;101;99;2;45;1;24;11;1;8;9
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;021;IVANEÈKI VRHOVEC;KUÆA IVANA LONÈARA;IVANEÈKI VRHOVEC 53 A;239;77;77;75;2;25;3;30;8;4;4;1
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;022;VITEŠINEC;"BIVŠE IZLETIŠTE ""CRKVENJAK""";VITEŠINEC;84;48;48;47;1;29;1;11;1;0;2;3
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;023;GAÈICE;OSNOVNA ŠKOLA;GAÈICE;288;122;122;118;4;35;0;37;15;3;19;9
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;024;CERJE TUŽNO;DRUŠTVENI DOM;CERJE TUŽNO;145;68;68;65;3;20;2;20;16;2;1;4
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;025;SALINOVEC;OSNOVNA ŠKOLA;SALINOVEC;417;187;187;182;5;59;4;64;28;2;11;14
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;026;IVANEÈKA ŽELJEZNICA;DRUŠTVENI DOM;IVANEÈKA ŽELJEZNICA;297;129;129;126;3;54;2;42;16;2;6;4
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;027;STAŽNJEVEC;STARA ŠKOLA;STAŽNJEVEC;277;181;181;175;6;61;1;27;72;6;3;5
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;028;LUKAVEC;DRUŠTVENI DOM;LUKAVEC;112;76;76;75;1;39;1;15;12;2;2;4
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;029;MARGEÈAN;OSNOVNA ŠKOLA - BIRALIŠTE I;MARGEÈAN;329;198;198;195;3;53;7;125;3;1;4;2
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;030;OSEÈKA;DRUŠTVENI DOM;OSEÈKA;185;108;108;108;0;62;1;39;4;0;1;1
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;031;MARGEÈAN;OSNOVNA ŠKOLA - BIRALIŠTE II;MARGEÈAN;183;115;115;112;3;13;5;91;1;1;1;0
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;032;RADOVAN;OSNOVNA ŠKOLA - BIRALIŠTE I;RADOVAN;367;150;150;145;5;16;4;83;25;2;2;13
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;033;ŠKRILJEVEC;DRUŠTVENI DOM;ŠKRILJEVEC;210;109;109;104;5;34;1;45;6;0;4;14
05;VARAŽDINSKA ŽUPANIJA;grad;IVANEC;034;RADOVAN;OSNOVNA ŠKOLA - BIRALIŠTE II;RADOVAN;384;162;162;157;5;35;3;60;50;1;3;5
