Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;KREŠIMIR AÈKAR;IVAN BEKAVAC;IVO JELUŠIÆ;ZVONIMIR LOVRIÆ
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;012;MILJENKO GRANIÆ;"OSNOVNA ŠKOLA ""NIKOLA HRIBAR""";VELIKA GORICA, R. BOŠKOVIÆA 13;1366;603;602;573;29;233;143;141;56
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;013;MILJENKO GRANIÆ;"OSNOVNA ŠKOLA ""NIKOLA HRIBAR""";VELIKA GORICA, R. BOŠKOVIÆA 13;1443;604;604;581;23;249;172;107;53
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;014;STARI GRAD;"OSNOVNA ŠKOLA ""JURJA HABDELIÆA""";VELIKA GORICA, ŠKOLSKA ULICA 1;1449;735;734;706;28;293;182;161;70
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;015;STARI GRAD;VATROGASNI DOM;VELIKA GORICA, ZAGREBAÈKA 3;1713;714;714;698;16;251;147;196;104
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;016;VLADIMIR NAZOR;"OSNOVNA ŠKOLA ""EUGEN KUMIÈIÆ""";VELIKA GORICA, J. PUCEKOVIÆA 4;1211;459;459;449;10;170;78;163;38
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;017;VLADIMIR NAZOR;ELEKTRA;VELIKA GORICA, S. KOLARA 17;551;205;205;200;5;56;50;67;27
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;018;VLADIMIR NAZOR;"OSNOVNA ŠKOLA ""EUGEN KUMIÈIÆ""";VELIKA GORICA, J. PUCEKOVIÆA 4;756;286;283;280;3;93;68;95;24
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;019;VLADIMIR NAZOR;PROSTORIJE GRADSKE ÈETVRTI;VELIKA GORICA, M. SLATINSKOG 4;966;389;389;378;11;145;59;137;37
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;020;KURILOVEC;VATROGASNI DOM;VELIKA GORICA, HORVATOVA 57;1426;596;594;580;14;266;136;125;53
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;021;KURILOVEC;"PROSTORIJE NK ""UDARNIK""";VELIKA GORICA, SPORTSKA 2;1709;651;651;636;15;312;147;112;65
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;022;PLESO;DRUŠTVENI DOM;VELIKA GORICA, Š. BREŠÈENSKOG 18;1200;642;640;617;23;339;84;133;61
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;023;RAKARJE;DRUŠTVENI DOM;VELIKA GORICA, RAKARSKA 55;940;447;447;430;17;241;75;67;47
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;024;BAPÈE;DRUŠTVENI DOM;BAPÈE 12 A;109;54;53;51;2;28;6;9;8
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;025;BUKOVÈAK;DRUŠTVENI DOM;BUKOVÈAK 18;51;27;27;27;0;25;0;1;1
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;026;BUŠEVEC-NOVO SELO;OSNOVNA ŠKOLA U BUŠEVCU;BUŠEVEC BB;916;426;425;416;9;218;41;129;28
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;027;CEROVSKI VRH;DRUŠTVENI DOM;CEROVSKI VRH 3 A;217;81;80;79;1;55;3;14;7
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;028;ÈIÈKA POLJANA;ZGRADA BIVŠE ŠKOLE;POLJANA ÈIÈKA 81;594;219;219;212;7;120;19;54;19
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;029;ÈRNKOVEC;DRUŠTVENI DOM;ÈRNKOVEC 55;387;147;147;143;4;86;22;23;12
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;030;DONJA LOMNICA;VATROGASNI DOM;DONJA LOMNICA, ŠKOLSKA 20 A;1462;758;757;744;13;553;68;67;56
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;031;DONJE PODOTOÈJE;DRUŠTVENI DOM;PODOTOÈJE DONJE, DAVUTOVIÆI 15;338;115;115;109;6;69;11;20;9
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;032;DUBRANEC;DRUŠTVENI DOM;DUBRANEC 13;311;123;123;120;3;79;3;26;12
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;033;GORNJA LOMNICA;PROSTORIJE NK;GORNJA LOMNICA BB;464;185;185;173;12;109;16;28;20
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;034;GORNJE PODOTOÈJE;DRUŠTVENI DOM;PODOTOÈJE GORNJE 41;368;152;152;147;5;83;17;30;17
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;035;GRADIÆI;DRUŠTVENI DOM;GRADIÆI, GRADIÆKA 33;1740;807;807;783;24;561;72;115;35
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;036;GUDCI;DRUŠTVENI DOM;GUDCI 52 A;366;151;151;143;8;72;12;47;12
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;037;GUSTELNICA;DRUŠTVENI DOM;GUSTELNICA 14 A;87;29;29;28;1;22;2;1;3
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;038;JAGODNO;DRUŠTVENI DOM;JAGODNO 45;503;157;157;156;1;97;21;32;6
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;039;KOBILIÆ;DRUŠTVENI DOM;KOBILIÆ 74;506;260;260;254;6;166;34;39;15
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;040;KOSNICA;DRUŠTVENI DOM;PETINA 32;814;285;285;274;11;191;27;41;15
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;041;KOZJAÈA;DRUŠTVENI DOM;KOZJAÈA, ŠKOLSKA CESTA 6;280;126;126;121;5;83;11;23;4
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;042;KUÈE;VATROGASNI DOM-NOVI;KUÈE, PETROVA 24/1;1207;540;540;529;11;309;96;80;44
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;043;LAZINA;DRUŠTVENI DOM;LAZINA ÈIÈKA 24/1;490;192;192;186;6;108;27;31;20
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;044;LEKNENO-TRNJE;"SPORTSKI DOM NK ""BUDUÆNOST"" (NOGOMETNO IGRALIŠTE)";LEKNENO, VELIKOGORIÈKA BB;386;133;133;129;4;84;15;17;13
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;045;LUKAVEC;DRUŠTVENI DOM;LUKAVEC, DOLENSKA 1;1093;532;532;517;15;350;28;108;31
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;046;MARKUŠEVEC;DRUŠTVENI DOM;MARKUŠEVEC 12 A;333;129;129;127;2;77;10;24;16
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;047;MIÈEVEC;DRUŠTVENI DOM;MIÈEVEC, TRG KARDINALA A. STEPINCA 7;1125;311;311;299;12;160;25;70;44
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;048;MRACLIN;VATROGASNI DOM;MRACLIN, BRAÆE RADIÆA 89 A;937;460;460;445;15;299;42;73;31
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;049;NOVO ÈIÈE;OSNOVNA ŠKOLA;NOVO ÈIÈE, TRG ANTUNA CVETKOVIÆA 27;1113;406;406;392;14;227;59;62;44
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;050;OGULINEC;DRUŠTVENI DOM;OGULINEC, OGULINEÈKA 11 A;271;119;119;115;4;62;4;18;31
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;051;OKUJE;PROSTORIJE MJESNOG ODBORA;OKUJE BB;387;195;195;191;4;142;16;14;19
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;052;PETROVINA;DRUŠTVENI DOM;PETROVINA, PETROVINSKA ULICA 34 A;660;390;390;376;14;289;29;38;20
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;053;RAKITOVEC;VATROGASNI DOM;RAKITOVEC 310;527;224;224;213;11;121;27;45;20
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;054;RIBNICA;VATROGASNI DOM;RIBNICA, ULICA HRVATSKOG PROLJEÆA 87;790;288;288;283;5;169;25;53;36
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;055;SELNICA;PROSTORIJE MJESNOG ODBORA-KONTEJNER;SELNICA ŠÈITARJEVSKA BB;440;171;171;170;1;112;15;25;18
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;056;SOP BUKEVSKI;PROSTORIJE MJESNOG ODBORA;SOP BUKEVSKI BB;70;29;29;29;0;26;0;3;0
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;057;STARO ÈIÈE;DRUŠTVENI DOM;STARO ÈIÈE, J. HABDELIÆA 21;649;271;271;263;8;142;23;76;22
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;058;STRMEC BUKEVSKI;KULTURNO-PROSVJETNI DOM;STRMEC BUKEVSKI 70;369;128;128;125;3;93;10;17;5
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;059;ŠÈITARJEVO;OSNOVNA ŠKOLA;ŠÈITARJEVO 104;1372;485;485;473;12;238;44;68;123
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;060;ŠILJAKOVINA;VATROGASNI DOM-NOVI;ŠILJAKOVINA, I. ŠABANA 2 C;599;250;250;244;6;178;24;24;18
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;061;TUROPOLJE;DRUŠTVENI DOM;TUROPOLJE, PROLETERSKA BB;670;261;261;253;8;162;21;51;19
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;062;VELIKA BUNA;DRUŠTVENI DOM;VELIKA BUNA, TUROPOLJSKO POSAVSKOG ODREDA  107;760;354;354;345;9;234;25;58;28
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;063;VELIKA BUNA;DRUŠTVENI DOM;MALA BUNA, MALOBUNSKA CESTA 2;224;114;114;106;8;75;5;14;12
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;064;VELIKA BUNA;DRUŠTVENI DOM;KLJUÈIÆ BRDO, KLJUÈIÆKA CESTA 80;179;71;71;69;2;41;9;17;2
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;065;VELIKA MLAKA;OSNOVNA ŠKOLA;VELIKA MLAKA, BRUNE BUŠIÆA 7;1648;641;641;605;36;286;106;156;57
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;066;VELIKA MLAKA;VATROGASNI DOM;VELIKA MLAKA, TRG MAJKE HRVATICE 17;1408;541;541;524;17;237;96;110;81
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;067;VUKOMERIÆ;DRUŠTVENI DOM;VUKOMERIÆ 17;115;47;47;43;4;24;2;15;2
01;ZAGREBAÈKA ŽUPANIJA;grad;VELIKA GORICA;068;VUKOVINA;"NK ""BAN JELAÈIÆ""";VUKOVINA, ŠKOLSKA ULICA 8A;906;397;397;378;19;237;53;61;27
