Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DAMIR BAJS NEZAVISNA LISTA - DAMIR BAJS NL, GRAÐANSKO-LIBERALNI SAVEZ - GLAS, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKA SELJAÈKA STRANKA BRAÆE RADIÆ - HSS BRAÆE RADIÆ, DEMOKRATI, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, NEZAVISNI SELJACI HRVATSKE - NSH, STRANKA UMIROVLJENIKA - SU, BLOK UMIROVLJENICI ZAJEDNO - BUZ, NARODNA STRANKA - REFORMISTI - REFORMISTI;DOMOVINSKI POKRET - DP;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  DINKO PIRAK;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;013;DONJI DRAGIÈEVCI;KUÆA JADRANKE PAPIÆ;DONJI DRAGIÈEVCI 5A;27;19;19;18;1;2;4;0;1;9;2
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;014;PRNJAROVAC;VATROGASNO SPREMIŠTE;PRNJAROVAC 64;88;42;42;41;1;4;8;5;2;17;5
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;015;DAPCI;VATROGASNI DOM DAPCI;DAPCI 210;158;59;59;59;0;6;8;4;13;17;11
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;016;MARÈANI;DOM MARÈANI;MARÈANI 41;82;32;32;32;0;9;1;3;0;12;7
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;017;OPÆEVAC;DOM OPÆEVAC;OPÆEVAC 40;246;95;95;90;5;11;4;4;21;34;16
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;018;SOVARI;DOM SOVARI;SOVARI 28;76;24;24;24;0;3;0;5;4;8;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;019;GORNJI DRAGANEC;DOM GORNJI DRAGANEC;GORNJI DRAGANEC 234;321;120;120;117;3;19;2;19;6;38;33
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;020;DONJI DRAGANEC;DOM DONJI DRAGANEC;DONJI DRAGANEC 56;107;50;50;47;3;7;2;3;0;23;12
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;021;SIŠÆANI;DOM SIŠÆANI;SIŠÆANI 101;243;113;113;111;2;24;6;41;4;25;11
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;022;ZDENÈEC;DOM ZDENÈEC;ZDENÈEC 44;71;47;47;47;0;7;5;16;0;6;13
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;023;BOJANA;DOM BOJANA;BOJANA 67;137;76;76;72;4;20;3;23;2;13;11
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;024;VAGOVINA;DOM VAGOVINA;VAGOVINA 105;314;131;131;129;2;32;1;26;1;38;31
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;025;KOMUŠEVAC;DOM KOMUŠEVAC;KOMUŠEVAC 60;143;74;74;72;2;13;8;8;0;38;5
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;026;POBJENIK;ŠKOLA POBJENIK;POBJENIK 102;209;60;60;60;0;9;2;3;6;23;17
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;027;GRABOVNICA;DRUŠTVENI DOM GRABOVNICA;GRABOVNICA 54;322;144;144;142;2;40;3;13;4;52;30
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;028;GORNJI MIKLOUŠ;ŠKOLA GORNJI MIKLOUŠ;GORNJI MIKLOUŠ 61;90;44;44;43;1;8;2;5;2;17;9
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;029;DONJI MIKLOUŠ;DOM DONJI MIKLOUŠ;DONJI MIKLOUŠ 144;154;65;65;62;3;14;2;10;1;15;20
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;030;MARTINAC;DOM MARTINAC;MARTINAC 73;66;28;28;27;1;2;0;7;2;12;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;031;NOVO SELO;KUÆA KATE MLINARIÆ;NOVO SELO 18;30;15;15;15;0;4;0;0;1;6;4
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;032;VUÈANI;DOM VUÈANI;VUÈANI 32;66;24;24;24;0;4;1;5;0;9;5
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;033;VRTLINSKA;DOM VRTLINSKA;VRTLINSKA 105;148;55;55;53;2;7;3;11;1;22;9
07;BJELOVARSKO-BILOGORSKA ŽUPANIJA;grad;ÈAZMA;034;PAVLIÈANI;DOM PAVLIÈANI;PAVLIÈANI 57;65;47;47;45;2;12;1;1;4;7;20
