Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;GORAN GOTAL;DEJAN LEVAÈIÆ;MARIO MEDVED;MATIJA POSAVEC
20;MEÐIMURSKA ŽUPANIJA;grad;MURSKO SREDIŠÆE;006;KRIŽOVEC;PROSTORIJE DRUŠTVENOG DOMA;KRIŽOVEC 17;525;183;183;179;4;41;4;14;120
20;MEÐIMURSKA ŽUPANIJA;grad;MURSKO SREDIŠÆE;007;ŠTRUKOVEC;PROSTORIJE DRUŠTVENOG DOMA;ŠTRUKOVEC 142;334;121;121;120;1;41;1;6;72
20;MEÐIMURSKA ŽUPANIJA;grad;MURSKO SREDIŠÆE;008;HLAPIÈINA;PROSTORIJE DRUŠTVENOG DOMA;HLAPIÈINA 41A;626;229;229;222;7;47;8;15;152
20;MEÐIMURSKA ŽUPANIJA;grad;PRELOG;001;CIRKOVLJAN;DOM KULTURE;DONJA ULICA 1;673;322;322;318;4;78;10;29;201
20;MEÐIMURSKA ŽUPANIJA;grad;PRELOG;002;ÈEHOVEC;DOM KULTURE;ÈEHOVEC 104;595;302;302;293;9;97;7;25;164
20;MEÐIMURSKA ŽUPANIJA;grad;PRELOG;003;ÈUKOVEC;DOM KULTURE;ÈUKOVEC 105;260;116;116;112;4;27;1;4;80
20;MEÐIMURSKA ŽUPANIJA;grad;PRELOG;004;DRAŠKOVEC;DOM KULTURE;BRAÆE RADIÆA 6;529;257;257;252;5;88;3;12;149
20;MEÐIMURSKA ŽUPANIJA;grad;PRELOG;005;HEMUŠEVEC;DOM KULTURE;TRG MALE GOSPE 5;207;104;104;103;1;30;3;4;66
20;MEÐIMURSKA ŽUPANIJA;grad;PRELOG;006;OPOROVEC;DOM KULTURE;OPOROVEC 160;344;174;174;169;5;59;6;16;88
20;MEÐIMURSKA ŽUPANIJA;grad;PRELOG;007;OTOK;DOM KULTURE;OTOK 80;261;123;123;122;1;41;2;3;76
20;MEÐIMURSKA ŽUPANIJA;grad;PRELOG;008;PRELOG;SREDNJA ŠKOLA;ÈAKOVEÈKA 1;680;349;349;346;3;113;1;11;221
20;MEÐIMURSKA ŽUPANIJA;grad;PRELOG;009;PRELOG;DOM KULTURE GRADA PRELOGA;TRG SLOBODE 1;642;339;339;329;10;127;8;26;168
20;MEÐIMURSKA ŽUPANIJA;grad;PRELOG;010;PRELOG;OSNOVNA ŠKOLA - UÈIONICA MATEMATIKA 2;TRG BANA JELAÈIÆA 2;624;261;261;253;8;80;6;11;156
20;MEÐIMURSKA ŽUPANIJA;grad;PRELOG;011;PRELOG;OSNOVNA ŠKOLA - UÈIONICA RAZREDNA NASTAVA 2;TRG BANA JELAÈIÆA 2;981;476;476;472;4;144;8;16;304
20;MEÐIMURSKA ŽUPANIJA;grad;PRELOG;012;PRELOG;OSNOVNA ŠKOLA - UÈIONICA RAZREDNE NASTAVE 3;TRG BANA JELAÈIÆA 2;735;382;382;372;10;150;4;18;200
20;MEÐIMURSKA ŽUPANIJA;opæina;BELICA;001;BELICA;DVORANA DRUŠTVENOG DOMA BELICA;ULICA KRALJA TOMISLAVA 100;835;401;401;398;3;46;10;60;282
20;MEÐIMURSKA ŽUPANIJA;opæina;BELICA;002;BELICA;OSNOVNA ŠKOLA - UÈIONICA BROJ 1;ULICA DR. LJUDEVITA GAJA 21;1087;485;485;477;8;66;12;47;352
20;MEÐIMURSKA ŽUPANIJA;opæina;BELICA;003;GARDINOVEC;DVORANA DRUŠTVENOG DOMA;GARDINOVEC 33;733;342;342;331;11;41;8;34;248
20;MEÐIMURSKA ŽUPANIJA;opæina;DEKANOVEC;001;DEKANOVEC;DOM KULTURE;KALNIÈKA ULICA 2;662;368;367;361;6;76;20;28;237
20;MEÐIMURSKA ŽUPANIJA;opæina;DOMAŠINEC;001;DOMAŠINEC;DOM KULTURE OPÆINE DOMAŠINEC - VELIKA DVORANA;MARTINA PUŠTEKA 9;584;259;259;252;7;32;4;27;189
20;MEÐIMURSKA ŽUPANIJA;opæina;DOMAŠINEC;002;DOMAŠINEC;DOM KULTURE OPÆINE DOMAŠINEC - MALA DVORANA;MARTINA PUŠTEKA 9;852;306;306;305;1;37;7;27;234
20;MEÐIMURSKA ŽUPANIJA;opæina;DOMAŠINEC;003;TURÈIŠÆE;DRUŠTVENI DOM TURÈIŠÆE - DVORANA;TURÈIŠÆE 134;492;167;167;166;1;19;8;24;115
20;MEÐIMURSKA ŽUPANIJA;opæina;DONJA DUBRAVA;001;DONJA DUBRAVA;OSNOVNA ŠKOLA - UÈIONICA BR. 102 (PRIZEMLJE);KRBULJA 21;794;413;413;405;8;71;5;25;304
20;MEÐIMURSKA ŽUPANIJA;opæina;DONJA DUBRAVA;002;DONJA DUBRAVA;OSNOVNA ŠKOLA - UÈIONICA BR. 103 (PRIZEMLJE);KRBULJA 21;879;469;469;457;12;91;12;41;313
20;MEÐIMURSKA ŽUPANIJA;opæina;DONJI KRALJEVEC;001;DONJI KRALJEVEC;OSNOVNA ŠKOLA;ÈAKOVEÈKA 7;603;335;335;329;6;85;15;24;205
20;MEÐIMURSKA ŽUPANIJA;opæina;DONJI KRALJEVEC;002;DONJI KRALJEVEC;PROSTORIJE OPÆINE;KOLODVORSKA ULICA 52D;672;362;362;355;7;83;9;34;229
20;MEÐIMURSKA ŽUPANIJA;opæina;DONJI KRALJEVEC;003;HODOŠAN;PROSTORIJE NOGOMETNOG KLUBA;ULICA BRAÆE RADIÆA 2B;489;248;248;244;4;71;5;27;141
20;MEÐIMURSKA ŽUPANIJA;opæina;DONJI KRALJEVEC;004;HODOŠAN;VATROGASNI DOM;PRVOMAJSKA 2;454;183;183;179;4;61;7;7;104
20;MEÐIMURSKA ŽUPANIJA;opæina;DONJI KRALJEVEC;005;DONJI HRAŠÆAN;DOM KULTURE;DONJI HRAŠÆAN 96;409;188;188;185;3;44;2;11;128
20;MEÐIMURSKA ŽUPANIJA;opæina;DONJI KRALJEVEC;006;DONJI PUSTAKOVEC;DOM KULTURE;DONJI PUSTAKOVEC 111;230;110;110;107;3;29;4;13;61
20;MEÐIMURSKA ŽUPANIJA;opæina;DONJI KRALJEVEC;007;SVETI JURAJ U TRNJU;OSNOVNA ŠKOLA;SVETI JURAJ U TRNJU 51;242;119;119;119;0;19;4;14;82
20;MEÐIMURSKA ŽUPANIJA;opæina;DONJI KRALJEVEC;008;PALINOVEC;DOM KULTURE;PALINOVEC 22;583;203;203;202;1;44;7;12;139
20;MEÐIMURSKA ŽUPANIJA;opæina;DONJI VIDOVEC;001;DONJI VIDOVEC;DOM KULTURE - PROSTORIJA 1;RADE KONÈARA 9;525;181;181;179;2;31;5;5;138
20;MEÐIMURSKA ŽUPANIJA;opæina;DONJI VIDOVEC;002;DONJI VIDOVEC;DOM KULTURE - PROSTORIJA 2;RADE KONÈARA 9;630;260;260;256;4;45;1;22;188
20;MEÐIMURSKA ŽUPANIJA;opæina;GORIÈAN;001;GORIÈAN;OSNOVNA ŠKOLA - RAZRED 1;ŠKOLSKA 16;716;448;448;441;7;177;8;19;237
20;MEÐIMURSKA ŽUPANIJA;opæina;GORIÈAN;002;GORIÈAN;OSNOVNA ŠKOLA - RAZRED 2;ŠKOLSKA 16;783;452;452;439;13;182;13;10;234
20;MEÐIMURSKA ŽUPANIJA;opæina;GORIÈAN;003;GORIÈAN;OSNOVNA ŠKOLA - RAZRED 3;ŠKOLSKA 16;860;524;524;508;16;192;6;15;295
20;MEÐIMURSKA ŽUPANIJA;opæina;GORNJI MIHALJEVEC;001;GORNJI MIHALJEVEC;DOM KULTURE - VELIKA DVORANA A;GORNJI MIHALJEVEC 74;337;242;242;229;13;28;7;37;157
20;MEÐIMURSKA ŽUPANIJA;opæina;GORNJI MIHALJEVEC;002;GORNJI MIHALJEVEC;DOM KULTURE - VELIKA DVORANA B;GORNJI MIHALJEVEC 74;339;183;183;179;4;24;1;12;142
20;MEÐIMURSKA ŽUPANIJA;opæina;GORNJI MIHALJEVEC;003;GORNJA DUBRAVA;VATROGASNI DOM;GORNJA DUBRAVA 48;193;100;100;99;1;4;3;4;88
20;MEÐIMURSKA ŽUPANIJA;opæina;GORNJI MIHALJEVEC;004;PRESEKA;VATROGASNI DOM;PRESEKA 6B;253;160;160;156;4;9;5;31;111
20;MEÐIMURSKA ŽUPANIJA;opæina;GORNJI MIHALJEVEC;005;MARTINUŠEVEC;VATROGASNI DOM;MARTINUŠEVEC 15A;101;62;62;60;2;6;0;6;48
20;MEÐIMURSKA ŽUPANIJA;opæina;GORNJI MIHALJEVEC;006;VUKANOVEC;DOM KULTURE;VUKANOVEC 37;223;135;135;133;2;12;3;18;100
20;MEÐIMURSKA ŽUPANIJA;opæina;GORNJI MIHALJEVEC;007;DRAGOSLAVEC SELO;DOM KULTURE;DRAGOSLAVEC SELO 14;175;97;97;96;1;8;2;15;71
20;MEÐIMURSKA ŽUPANIJA;opæina;KOTORIBA;001;KOTORIBA;"OSNOVNA ŠKOLA ""JOŽE HORVATA"" - UÈIONICA 3. A RAZREDA, U PRIZEMLJU";ULICA IGNACA SVETOMARTINSKOG 1;877;498;498;492;6;72;20;68;332
20;MEÐIMURSKA ŽUPANIJA;opæina;KOTORIBA;002;KOTORIBA;"OSNOVNA ŠKOLA ""JOŽE HORVATA"" - UÈIONICA 2. B RAZREDA, U PRIZEMLJU";ULICA IGNACA SVETOMARTINSKOG 1;833;381;381;364;17;28;17;69;250
20;MEÐIMURSKA ŽUPANIJA;opæina;KOTORIBA;003;KOTORIBA;"OSNOVNA ŠKOLA ""JOŽE HORVATA"" - UÈIONICA 3. C RAZREDA, U PRIZEMLJU";ULICA IGNACA SVETOMARTINSKOG 1;785;355;355;347;8;43;22;39;243
20;MEÐIMURSKA ŽUPANIJA;opæina;MALA SUBOTICA;001;MALA SUBOTICA;DOM KULTURE;GLAVNA ULICA 29;1072;489;488;480;8;86;34;38;322
20;MEÐIMURSKA ŽUPANIJA;opæina;MALA SUBOTICA;002;MALA SUBOTICA;OSNOVNA ŠKOLA TOMAŠA GORIÈANCA;GLAVNA ULICA 55;613;248;248;244;4;42;13;18;171
20;MEÐIMURSKA ŽUPANIJA;opæina;MALA SUBOTICA;003;PALOVEC;DRUŠTVENI DOM;GLAVNA 35;814;354;354;350;4;65;13;38;234
20;MEÐIMURSKA ŽUPANIJA;opæina;MALA SUBOTICA;004;DRŽIMUREC;DOM KULTURE DRŽIMUREC-STRELEC;DRŽIMUREC 136;573;251;251;244;7;29;21;23;171
20;MEÐIMURSKA ŽUPANIJA;opæina;MALA SUBOTICA;005;SVETI KRIŽ;DRUŠTVENI DOM;ULICA AUGUSTA ŠENOE 32;291;147;147;145;2;18;6;19;102
20;MEÐIMURSKA ŽUPANIJA;opæina;MALA SUBOTICA;006;DRŽIMUREC;PODRUÈNA ŠKOLA DRŽIMUREC-STRELEC;DRŽIMUREC 131;379;67;67;66;1;38;10;12;6
20;MEÐIMURSKA ŽUPANIJA;opæina;NEDELIŠÆE;001;ÈREÈAN;DRUŠTVENI DOM;ÈREÈAN 43;341;150;150;149;1;19;2;47;81
20;MEÐIMURSKA ŽUPANIJA;opæina;NEDELIŠÆE;002;DUNJKOVEC;PODRUÈNA ŠKOLA DUNJKOVEC;GLAVNA ULICA 51;770;238;238;237;1;14;9;64;150
20;MEÐIMURSKA ŽUPANIJA;opæina;NEDELIŠÆE;003;GORNJI HRAŠÆAN;DRUŠTVENI DOM;ÈAKOVEÈKA ULICA 46;735;263;263;256;7;27;8;55;166
20;MEÐIMURSKA ŽUPANIJA;opæina;NEDELIŠÆE;004;GORNJI KURŠANEC;DRUŠTVENI DOM;TRG MIRKA BLAZINARIÆA 3;652;203;203;200;3;18;12;70;100
20;MEÐIMURSKA ŽUPANIJA;opæina;NEDELIŠÆE;005;MACINEC;SPORTSKI DOM MACINEC;ŠKOLSKA ULICA 2;450;179;179;173;6;24;5;40;104
20;MEÐIMURSKA ŽUPANIJA;opæina;NEDELIŠÆE;006;NEDELIŠÆE;DOM UMIROVLJENIKA;MARŠALA TITA 23;554;226;226;223;3;24;11;68;120
20;MEÐIMURSKA ŽUPANIJA;opæina;NEDELIŠÆE;007;NEDELIŠÆE;DJEÈJI VRTIÆ ZVONÈIÆ;USKA 16B;789;355;355;342;13;49;12;94;187
20;MEÐIMURSKA ŽUPANIJA;opæina;NEDELIŠÆE;008;NEDELIŠÆE;DRUŠTVENE PROSTORIJE VATROGASNOG DOMA;ÈAKOVEÈKA 2;807;368;368;362;6;35;6;89;232
20;MEÐIMURSKA ŽUPANIJA;opæina;NEDELIŠÆE;009;NEDELIŠÆE;OSNOVNA ŠKOLA NEDELIŠÆE;TRG REPUBLIKE 9;779;344;344;340;4;36;16;96;192
20;MEÐIMURSKA ŽUPANIJA;opæina;NEDELIŠÆE;010;NEDELIŠÆE;PROSTORIJE OPÆINSKE UPRAVE OPÆINE NEDELIŠÆE- VIJEÆNICA;MARŠALA TITA 1;658;308;308;300;8;41;8;74;177
20;MEÐIMURSKA ŽUPANIJA;opæina;NEDELIŠÆE;011;PRETETINEC;VATROGASNI  DOM;PRETETINEC 65;477;188;187;180;7;19;8;50;103
20;MEÐIMURSKA ŽUPANIJA;opæina;NEDELIŠÆE;012;PUŠÆINE;SPORTSKI DOM PUŠÆINE;DRAVSKA ULICA 7;571;218;218;216;2;31;12;43;130
20;MEÐIMURSKA ŽUPANIJA;opæina;NEDELIŠÆE;013;PUŠÆINE;PROSTORIJE VMO PUŠÆINE;ŠKOLSKA ULICA 23;480;173;173;166;7;14;5;33;114
20;MEÐIMURSKA ŽUPANIJA;opæina;NEDELIŠÆE;014;SLAKOVEC;VATROGASNI DOM;SLAKOVEC 118;398;174;174;167;7;20;4;43;100
20;MEÐIMURSKA ŽUPANIJA;opæina;NEDELIŠÆE;015;PARAG;DRUŠTVENE PROSTORIJE U KONTENJERU;PARAG;782;429;427;422;5;15;2;401;4
20;MEÐIMURSKA ŽUPANIJA;opæina;NEDELIŠÆE;016;TRNOVEC;DRUŠTVENI DOM - PROSTORIJE VMO TRNOVEC;TRNOVEC 45;290;88;88;87;1;10;2;25;50
20;MEÐIMURSKA ŽUPANIJA;opæina;OREHOVICA;001;OREHOVICA;OPÆINA OREHOVICA (PROSTOR BIVŠE VJENÈAONE);ÈAKOVEÈKA ULICA 9;662;203;203;197;6;47;7;14;129
20;MEÐIMURSKA ŽUPANIJA;opæina;OREHOVICA;002;OREHOVICA;DVORANA KOD BIVŠE ZGRADE OSNOVNE ŠKOLE OREHOVICA;ULICA ZRINSKIH 40;574;180;180;170;10;29;8;17;116
20;MEÐIMURSKA ŽUPANIJA;opæina;OREHOVICA;003;PODBREST;ULAZNI HODNIK DOMA KULTURE;ULICA STJEPANA VOJVODE 20;533;251;251;246;5;19;12;20;195
20;MEÐIMURSKA ŽUPANIJA;opæina;OREHOVICA;004;VULARIJA;DRUŠTVENI DOM (PREDVORJE);ULICA PRVOG MAJA 20;331;131;131;127;4;15;1;8;103
20;MEÐIMURSKA ŽUPANIJA;opæina;PODTUREN;001;PODTUREN;OSNOVNA ŠKOLA PODTUREN;ÈAKOVEÈKA ULICA 5;1203;509;509;497;12;152;16;60;269
20;MEÐIMURSKA ŽUPANIJA;opæina;PODTUREN;002;NOVAKOVEC;DRUŠTVENI DOM NOVAKOVEC;GLAVNA 19;727;307;307;303;4;33;10;28;232
20;MEÐIMURSKA ŽUPANIJA;opæina;PODTUREN;003;SIVICA;DRUŠTVENI DOM SIVICA;GLAVNA ULICA 49;575;235;235;232;3;27;3;19;183
20;MEÐIMURSKA ŽUPANIJA;opæina;PODTUREN;004;MIKLAVEC;DRUŠTVENI DOM MIKLAVEC;MIKLAVEC 84;402;176;176;174;2;38;1;16;119
20;MEÐIMURSKA ŽUPANIJA;opæina;PODTUREN;005;FERKETINEC;VATROGASNI DOM FERKETINEC;FERKETINEC 37;154;66;66;66;0;5;1;7;53
20;MEÐIMURSKA ŽUPANIJA;opæina;PODTUREN;006;CELINE;KULTURNO - SPORTSKI CENTAR CELINE;ŠPORTSKA ULICA 1;295;99;99;95;4;22;2;8;63
20;MEÐIMURSKA ŽUPANIJA;opæina;PRIBISLAVEC;001;PRIBISLAVEC;ZGRADA DRUŠTVENOG  DOMA - VELIKA SALA A;ULICA BRAÆE RADIÆA 47;1062;498;498;487;11;44;23;50;370
20;MEÐIMURSKA ŽUPANIJA;opæina;PRIBISLAVEC;002;PRIBISLAVEC;ZGRADA DRUŠTVENOG DOMA - VELIKA SALA B;ULICA BRAÆE RADIÆA 47;1424;580;580;557;23;30;33;135;359
20;MEÐIMURSKA ŽUPANIJA;opæina;SELNICA;001;SELNICA;DRUŠTVENI DOM U SELNICI;TRG SVETOG MARKA 2;949;417;417;410;7;125;7;23;255
20;MEÐIMURSKA ŽUPANIJA;opæina;SELNICA;002;DONJI KONCOVÈAK;DRUŠTVENI DOM U DONJEM KONCOVÈAKU;DONJI KONCOVÈAK 39A;264;114;114;112;2;26;1;14;71
20;MEÐIMURSKA ŽUPANIJA;opæina;SELNICA;003;ZEBANEC SELO;PODRUÈNA ŠKOLA ZEBANEC SELO;ZEBANEC SELO 66;796;317;317;312;5;64;10;31;207
20;MEÐIMURSKA ŽUPANIJA;opæina;SELNICA;004;MERHATOVEC;DRUŠTVENI DOM U MERHATOVCU;MERHATOVEC 22A;121;65;65;65;0;23;0;3;39
20;MEÐIMURSKA ŽUPANIJA;opæina;SELNICA;005;PRAPORÈAN;DRUŠTVENI DOM U PRAPORÈANU;ULICA ZRINSKIH 26A;135;72;72;70;2;26;2;3;39
20;MEÐIMURSKA ŽUPANIJA;opæina;SELNICA;006;BUKOVEC;OBITELJSKA KUÆA ZORANA SRŠANA;BUKOVEC 71A;165;65;65;64;1;11;1;3;49
20;MEÐIMURSKA ŽUPANIJA;opæina;SELNICA;007;ZAVEŠÈAK;DRUŠTVENI DOM U ZAVEŠÈAKU;GORNJI ZEBANEC 48;202;80;80;79;1;15;2;6;56
20;MEÐIMURSKA ŽUPANIJA;opæina;STRAHONINEC;001;STRAHONINEC;VIJEÆNICA CENTRA ZA KULTURNE, DRUŠTVENE I JAVNE POTREBE;DRAVSKA 1;813;346;346;335;11;29;8;53;245
20;MEÐIMURSKA ŽUPANIJA;opæina;STRAHONINEC;002;STRAHONINEC;VELIKA DVORANA - ULAZ 1, CENTRA ZA KULTURNE, DRUŠTVENE I JAVNE POTREBE;DRAVSKA 1;865;468;467;452;15;50;5;83;314
20;MEÐIMURSKA ŽUPANIJA;opæina;STRAHONINEC;003;STRAHONINEC;VELIKA DVORANA - ULAZ 2, CENTRA ZA KULTURNE, DRUŠTVENE I JAVNE POTREBE;DRAVSKA 1;678;385;385;377;8;46;6;60;265
20;MEÐIMURSKA ŽUPANIJA;opæina;SVETA MARIJA;001;SVETA MARIJA;PROSTORIJE VATROGASNOG DOMA SVETA MARIJA;TRG BANA JELAÈIÆA 1;733;405;405;395;10;47;6;33;309
