Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DAVOR DRETAR;ANÐELKO FEREK-JAMBREK;ŽELJKO KOLAR;ERNEST SVAŽIÆ
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;DONJA STUBICA;011;VUÈAK;PODRUÈNA OSNOVNA ŠKOLA VUÈAK;VUÈAK 28;382;127;127;125;2;13;7;86;19
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KLANJEC;001;KLANJEC;VELIKA DVORANA GRADA KLANJCA;KLANJEC, TRG MIRA 11;477;282;282;274;8;13;22;205;34
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KLANJEC;002;MIHANOVIÆEV DOL;UPRAVNA ZGRADA PREDIONICE KLANJEC;MIHANOVIÆEV DOL, NOVODVORSKA 7;246;129;129;126;3;7;10;93;16
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KLANJEC;003;GREDICE;VATROGASNI DOM GREDICE;GREDICE 29;295;158;158;155;3;10;10;109;26
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KLANJEC;004;NOVI DVORI KLANJEÈKI;KUÆA KRISTINE JAMBREŠIÆ;NOVI DVORI KLANJEÈKI 8;334;161;161;159;2;7;5;119;28
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KLANJEC;005;BRATOVSKI VRH;KUÆA RUDOLFA KOLEŠ;BRATOVSKI VRH 37;100;59;59;59;0;1;19;31;8
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KLANJEC;006;KLANJEC;VELIKA DVORANA GRADA KLANJCA;KLANJEC, TRG MIRA 11;232;112;112;112;0;9;8;82;13
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KLANJEC;007;RAKOVEC TOMAŠEVEÈKI;VATROGASNI DOM RAKOVEC;RAKOVEC TOMAŠEVEÈKI 17;290;129;128;126;2;9;2;91;24
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KLANJEC;008;LUÈELNICA TOMAŠEVEÈKA;OSNOVNA ŠKOLA LUÈELNICA;LUÈELNICA TOMAŠEVEÈKA 32;307;124;124;117;7;12;8;87;10
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KLANJEC;009;LETOVÈAN TOMAŠEVEÈKI;KUÆA STJEPANA HORVAT;LETOVÈAN TOMAŠEVEÈKI 5;105;46;46;45;1;2;0;40;3
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;001;DONJA ŠEMNICA;PODRUÈNA ŠKOLA DONJA ŠEMNICA;DONJA ŠEMNICA 287;719;324;324;313;11;29;55;121;108
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;002;LEPAJCI;PODRUÈNA ŠKOLA LEPAJCI;LEPAJCI 4;950;442;442;430;12;39;60;205;126
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;003;KRAPINA;PUÈKO OTVORENO UÈILIŠTE (PLAVI SALON);ŠETALIŠTE HRV.NARODNOG PREP. 13;806;408;408;390;18;43;36;224;87
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;004;KRAPINA;"OSNOVNA ŠKOLA ""LJUDEVIT GAJ"" KRAPINA";TRG STJEPANA RADIÆA 1;627;342;342;323;19;32;30;172;89
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;005;KRAPINA;"OSNOVNA ŠKOLA ""LJUDEVIT GAJ"" KRAPINA";TRG STJEPANA RADIÆA 1;387;177;177;175;2;19;17;83;56
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;006;KRAPINA;PUÈKO OTVORENO UÈILIŠTE (MALA DVORANA);ŠETALIŠTE HRVATSKOG NARODNOG PREPORODA 13;1024;555;555;539;16;46;53;274;166
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;007;KRAPINA;OSNOVNA ŠKOLA AUGUSTA CESARCA KRAPINA;ŠETALIŠTE I.VRENCEA 1;480;269;269;263;6;15;14;151;83
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;008;KRAPINA;OSNOVNA ŠKOLA AUGUSTA CESARCA KRAPINA;ŠETALIŠTE I.VRENCEA 1;455;269;269;258;11;21;33;134;70
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;009;PODGORA KRAPINSKA;PODRUÈNA ŠKOLA PODGORA KRAPINSKA;PODGORA KRAPINSKA 76;832;535;535;509;26;35;56;284;134
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;010;PODGORA KRAPINSKA;PODRUÈNA ŠKOLA PODGORA KRAPINSKA;PODGORA KRAPINSKA 76;306;206;206;202;4;24;16;93;69
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;011;ŽUTNICA;"UGOSTITELJSKI OBJEKT ""SIMBA""";ŽUTNICA 52 A;291;123;123;118;5;8;5;58;47
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;012;ŠUŠELJ BREG I TRŠKI VRH;PRIVATNA KUÆA IVANA CEROVEÈKI;TRŠKI VRH 87;336;164;164;155;9;15;32;80;28
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;013;MIHALJEKOV JAREK;PROSTORIJE MJESNOG ODBORA MIHALJEKOV JAREK;MIHALJEKOV JAREK 9 A;962;625;625;592;33;55;46;259;232
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;014;ŠKARIÆEVO;PROSTORIJA PODRUÈNE ŠKOLE ŠKARIÆEVO;ŠKARIÆEVO 84;529;209;209;205;4;19;13;96;77
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;015;LEPAJCI;PROSTORIJA PODRUÈNE ŠKOLE LEPAJCI;LEPAJCI 4;341;190;190;180;10;26;9;86;59
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;016;VIDOVEC KRAPINSKI;PROSTORIJA ZGRADE DRUŠTVENE NAMJENE;VIDOVEC KRAPINSKI BB (NASUPROT KAPELE KOD IGRALIŠTA);276;191;191;180;11;19;11;89;61
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;017;BOBOVJE;DRUŠTVENI DOM;BOBOVJE 43;582;296;296;287;9;29;26;114;118
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;018;TKALCI;PRIVATNA KUÆA BRANKA BOÈKAJA;TKALCI 47;341;178;178;173;5;15;13;74;71
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;OROSLAVJE;001;OROSLAVJE;UDRUŽENJE UMIROVLJENIKA;ORO TRG 2;955;523;523;506;17;65;48;309;84
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;OROSLAVJE;002;OROSLAVJE;SREDNJA ŠKOLA OROSLAVJE;GAJEVA 1;880;463;463;455;8;50;25;274;106
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;OROSLAVJE;003;ANDRAŠEVEC;DRUŠTVENI DOM;ANDRAŠEVEC, BARLOVIÆEVA 2;766;353;353;346;7;51;49;206;40
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;OROSLAVJE;004;GORNJE OROSLAVJE;DRUŠTVENI DOM;STUBIÈKA CESTA 65;1079;545;545;527;18;87;32;303;105
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;OROSLAVJE;005;MOKRICE;DRUŠTVENI DOM;MOKRICE 89;667;373;373;368;5;54;29;206;79
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;OROSLAVJE;006;KRUŠLJEVO SELO;PODRUÈNA ŠKOLA;KRUŠLJEVO SELO 112;430;234;234;225;9;46;24;98;57
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;OROSLAVJE;007;STUBIÈKA SLATINA;DRUŠTVENI DOM;STUBIÈKA SLATINA 139;512;223;223;216;7;28;15;129;44
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;001;BENKOVO;PODRUÈNA ŠKOLA BENKOVO;BENKOVO 30;400;153;153;150;3;11;6;101;32
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;002;VALENTINOVO;U KUÆI ŽELJKA GOLUBIÆA;VALENTINOVO 8;307;159;159;159;0;10;7;113;29
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;003;CIGROVEC;U PROSTORIJAMA MJESNOG ODBORA U CIGROVCU;CIGROVEC 186/5;281;137;137;132;5;11;6;91;24
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;004;GORJAKOVO;PODRUÈNA ŠKOLA GORJAKOVO;GORJAKOVO 98;262;105;105;95;10;7;4;70;14
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;005;KOSTEL;PODRUÈNA ŠKOLA KOSTEL;KOSTEL 7;505;242;242;234;8;13;8;201;12
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;006;PLEMENŠÆINA;PRODAVAONICA U GORNJOJ PLEMENŠÆINI;GORNJA PLEMENŠÆINA 44/2;434;208;208;201;7;29;8;135;29
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;007;PREGRADA;GRADSKA VIJEÆNICA;JOSIPA KARLA TUŠKANA 2;962;455;455;430;25;49;20;266;95
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;008;PREGRADA;HOL UPRAVNE ZGRADE;JOSIPA KARLA TUŠKANA 2;936;395;395;381;14;31;17;262;71
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;009;SOPOT;PODRUÈNA ŠKOLA SOPOT;SOPOT 74;576;254;254;243;11;19;11;169;44
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;010;STIPERNICA;PODRUÈNA ŠKOLA STIPERNICA;STIPERNICA 11/2;224;99;99;95;4;8;2;55;30
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;011;VINAGORA;PROSTORIJA MJESNOG ODBORA U VINAGORI;VINAGORA 13;394;136;136;130;6;17;1;90;22
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;001;ŠPIÈKOVINA;PODRUÈNA ŠKOLA ŠPIÈKOVINA;ŠPIÈKOVINA 16;635;292;292;285;7;21;14;202;48
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;002;DUBRAVA ZABOÈKA;DRUŠTVENI DOM KOD NOGOMETNOG IGRALIŠTA;DUBRAVA ZABOÈKA 3;530;270;270;258;12;17;24;181;36
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;003;GRDENCI;DRUŠTVENI DOM;GRDENCI 90;384;179;179;173;6;14;10;115;34
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;004;LUG ZABOÈKI;LUG ZABOÈKI 55O - KUÆICA NA DJEÈJEM IGRALIŠTU;LUG ZABOÈKI 55 O;889;470;470;455;15;50;32;295;78
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;005;ZABOK I;STARA ŠKOLA  (ZELENA DVORANA);TRG SV. JELENE 6;754;449;449;438;11;23;26;299;90
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;006;GRABROVEC;SPORTSKI DOM KOD IGRALIŠTA;ULICA GRABROVEC 12;494;254;254;246;8;24;24;165;33
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;007;ZABOK II;"PREDVORJE OŠ ""K.Š.GJALSKI""";ÐAÈKI PUT 1;639;354;354;343;11;27;31;222;63
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;008;ZABOK III;"PREDVORJE DVORANE HEP ODS D.O.O. ""ELEKTRA"" ZABOK";MATIJE GUPCA 57;812;480;480;456;24;35;29;281;111
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;009;ZABOK IV;DOM STRIJELACA;MATIJE GUPCA 112;293;165;165;159;6;14;9;109;27
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;010;REPOVEC;OMLADINSKI DOM;REPOVEC 45C;270;132;132;129;3;9;6;70;44
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;011;TISANIÆ JAREK;KUÆICA (KONTEJNER) NA DJEÈJEM IGRALIŠTU;TISANIÆ JAREK BB;348;156;156;154;2;22;13;93;26
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;012;JAKUŠEVEC ZABOÈKI;KUÆICA (KONTEJNER) NA DJEÈJEM IGRALIŠTU;JAKUŠEVEC ZABOÈKI BB;342;165;165;161;4;21;11;92;37
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;013;PAVLOVEC ZABOÈKI;DRUŠTVENI DOM;PAVLOVEC ZABOÈKI 48;519;256;256;248;8;23;16;152;57
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;014;MARTINIŠÆE;VATROGASNI DOM DVD GUBAŠEVO;MARTINIŠÆE 5;473;249;249;242;7;24;15;138;65
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;015;PROSENIK GUBAŠEVSKI;DRUŠTVENI DOM;PROSENIK GUBAŠEVSKI 25A;136;63;63;62;1;5;4;34;19
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;016;PROSENIK ZAÈRETSKI;DRUŠTVENI DOM;PROSENIK ZAÈERTSKI 69A;116;56;56;56;0;6;6;33;11
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZLATAR;001;ZLATAR;GRADSKA KNJIŽNICA;ZLATAR, ZAGREBAÈKA 2;1060;530;530;518;12;38;34;315;131
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZLATAR;002;ZLATAR;OSNOVNA ŠKOLA ANTE KOVAÈIÆA PREDVORJE;ZLATAR;991;501;501;493;8;48;15;320;110
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZLATAR;003;ZLATAR;PROSTORIJE AUTO KLUBA;ZLATAR, PARK HRVATSKE MLADEŽI 2;847;425;425;417;8;37;12;272;96
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZLATAR;004;PETRUŠEVEC;OSNOVNA ŠKOLA;PETRUŠEVEC;211;80;80;78;2;5;14;35;24
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZLATAR;005;BELEÈKO ZAVRŠJE;KUÆA BOŽIDARA HATZA;BELEÈKO ZAVRŠJE 11;332;116;116;111;5;12;6;64;29
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZLATAR;006;BELEC;VATROGASNI DOM;BELEC;810;361;361;354;7;23;34;162;135
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZLATAR;007;DONJA BATINA;OSNOVNA ŠKOLA;DONJA BATINA;279;115;115;115;0;6;7;85;17
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZLATAR;008;MARTINŠÈINA;OSNOVNA ŠKOLA;MARTINŠÈINA;403;236;236;232;4;29;7;168;28
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BEDEKOVÈINA;001;POZNANOVEC;VATROGASNI DOM U POZNANOVCU;POZNANOVEC, ZAGORSKE BRIGADE 34;763;432;432;423;9;48;21;279;75
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BEDEKOVÈINA;002;LUG POZNANOVEÈKI;PROSTORIJE MJESNOG ODBORA;POZNANOVEC, ZAGORSKE BRIGADE 20 A;539;261;261;253;8;25;19;162;47
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BEDEKOVÈINA;003;KRIŽANÈE;DRUŠTVENI DOM;KRIŽANÈE 20B;112;55;55;54;1;3;3;42;6
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BEDEKOVÈINA;004;ŽIDOVINJAK;DRUŠTVENI DOM;ŽIDOVINJAK 9;141;78;78;76;2;5;10;47;14
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BEDEKOVÈINA;005;BEDEKOVÈINA;STARA ŠKOLA KOD GRGIÆA;BEDEKOVÈINA, STJEPANA RADIÆA 78;556;289;289;283;6;29;16;189;49
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BEDEKOVÈINA;006;BEDEKOVÈINA;VATROGASNI DOM BEDEKOVÈINA;STJEPANA RADIÆA 76A;751;460;460;455;5;25;30;267;133
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BEDEKOVÈINA;007;BEDEKOVÈINA;ZGRADA OPÆINE (DVORANA);BEDEKOVÈINA, TRG A. STARÈEVIÆA 4;921;487;487;476;11;33;29;332;82
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BEDEKOVÈINA;008;BEDEKOVÈINA;PROSTORIJA UDRUGE UMIROVLJENIKA;BEDEKOVÈINA, TRG A. STARÈEVIÆA 15;556;302;302;298;4;34;15;188;61
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BEDEKOVÈINA;009;KEBEL;VATROGASNI DOM;KEBEL 57 C;322;117;117;110;7;10;4;87;9
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BEDEKOVÈINA;010;OREHOVICA;PODRUÈNA ŠKOLA OREHOVICA;OREHOVICA 24;308;125;125;120;5;12;8;62;38
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BEDEKOVÈINA;011;BRESTOVEC OREHOVEÈKI;STARA ŠKOLA BRESTOVEC OREHOVIÈKI;BRESTOVEC OREHOVIÈKI 19;876;355;355;341;14;24;22;214;81
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BEDEKOVÈINA;012;GRABE;DRUŠTVENI DOM GRABE;GRABE 118B;271;107;107;104;3;5;11;70;18
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BEDEKOVÈINA;013;MARTINEC OREHOVIÈKI;DRUŠTVENI DOM;MARTINEC OREHOVIÈKI 19A;405;223;223;220;3;20;55;113;32
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BUDINŠÈINA;001;BUDINŠÈINA;ZGRADA OPÆINE;BUDINŠÈINA 6;474;203;203;198;5;14;14;108;62
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BUDINŠÈINA;002;KRAPINICA;DRUŠTVENI DOM KRAPINICA;KRAPINICA;192;82;82;79;3;9;2;41;27
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BUDINŠÈINA;003;GOTALOVEC;DRUŠTVENI DOM GOTALOVEC;GOTALOVEC;245;93;93;89;4;12;13;47;17
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BUDINŠÈINA;004;ZAJEZDA;DRUŠTVENI DOM ZAJEZDA;ZAJEZDA;245;89;89;87;2;4;12;45;26
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BUDINŠÈINA;005;GRTOVEC;KUÆA MARKA BRUÈIÆA;GRTOVEC 91;256;95;95;95;0;9;18;43;25
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BUDINŠÈINA;006;PAŽUROVEC;KUÆA STJEPANA SREMCA;PAŽUROVEC 15A;66;45;45;44;1;4;3;10;27
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BUDINŠÈINA;007;SVETI KRIŽ;DRUŠTVENI DOM SVETI KRIŽ;SVETI KRIŽ;107;49;49;47;2;5;2;19;21
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BUDINŠÈINA;008;PREPUŠTOVEC;KUÆA IVANA PLENARA;PREPUŠTOVEC 6/A;111;41;41;41;0;3;3;25;10
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BUDINŠÈINA;009;PECE;DRUŠTVENI DOM;PECE;218;68;68;66;2;17;2;33;14
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;DESINIÆ;001;DESINIÆ;OPÆINA DESINIÆ;TRG SV. JURJA 7;847;418;418;400;18;25;19;249;107
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;DESINIÆ;002;VELIKA HORVATSKA;PODRUÈNA ŠKOLA VELIKA HORVATSKA;VELIKA HORVATSKA BB;462;197;197;188;9;22;8;97;61
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;DESINIÆ;003;JELENJAK;KUÆA OBITELJI KOMERIÈKI;JELENJAK 2;169;82;82;79;3;5;2;51;21
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;DESINIÆ;004;GOSTENJE;ZADRUŽNI DOM;GOSTENJE BB;172;72;72;70;2;2;1;38;29
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;DESINIÆ;005;TURNIŠÆE;LOVAÈKI DOM;TURNIŠÆE DESINIÆKO 13/2;171;68;68;64;4;7;2;40;15
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;DESINIÆ;006;HUM KOŠNIÆKI;DVORAC VELIKI TABOR;HUM KOŠNIÆKI 1;282;112;112;108;4;7;4;82;15
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;ÐURMANEC;001;ÐURMANEC;"ZGRADA ""STARE ŠKOLSKE KUHINJE"" U DRUŠTVENIM PROSTORIJAMA U PRIZEMLJU ZGRADE";ÐURMANEC 141 A;705;424;424;410;14;32;13;268;97
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;ÐURMANEC;002;DONJI MACELJ;PODRUÈNA ŠKOLA MACELJ, UÈIONICA BR. 1;DONJI MACELJ 126;460;258;258;253;5;19;7;160;67
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;ÐURMANEC;003;DONJI MACELJ;PODRUÈNA ŠKOLA MACELJ, UÈIONICA BR. 2;DONJI MACELJ 126;156;63;63;62;1;11;1;41;9
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;ÐURMANEC;004;RAVNINSKO;KUÆA DUBRAVKA KONJIÆA;RAVNINSKO 91A;414;257;257;245;12;20;18;134;73
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;ÐURMANEC;005;HROMEC;ZGRADA ZADRUŽNOG DOMA, U DRUŠTVENIM PROSTORIJAMA U PRIZEMLJU ZGRADE;HROMEC 49;323;186;186;178;8;10;11;75;82
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;ÐURMANEC;006;HLEVNICA;KUÆA DRAGUTINA KRANJECA;HLEVNICA 72;198;101;101;101;0;11;2;39;49
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;ÐURMANEC;007;LUKOVÈAK;KUÆA LJUBICE PAVIÆ;LUKOVÈAK 49;179;115;115;110;5;9;9;60;32
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;ÐURMANEC;008;JEZERIŠÆE;PROSTORI SPORTSKOG DRUŠTVA JEZERIŠÆE;JEZERIŠÆE;87;62;62;58;4;10;1;21;26
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;ÐURMANEC;009;PODBREZOVICA;PROSTOR UDRUGE ZA ŠPORT I REKREACIJU GORNJA PODBREZOVICA, KOD IGRALIŠTA;PODBREZOVICA;220;155;155;153;2;12;4;67;70
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;ÐURMANEC;010;PUTKOVEC;IGRALIŠTE KOD PODRUÈNE ŠKOLE U PUTKOVCU, ULAZ U ŠATOR BROJ 1;PUTKOVEC 29;173;103;103;100;3;8;1;54;37
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;ÐURMANEC;011;PUTKOVEC;IGRALIŠTE KOD PODRUÈNE ŠKOLE U PUTKOVCU, ULAZ U ŠATOR BROJ 2;PUTKOVEC 29;248;120;120;116;4;3;7;75;31
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;ÐURMANEC;012;GORIÈANOVEC;PROSTOR SPORTSKOG DRUŠTVA JAVOR, KOD IGRALIŠTA;GORIÈANOVEC;201;104;104;100;4;7;14;55;24
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;GORNJA STUBICA;001;SVETI MATEJ I;KUÆA MLADENA ŠIŠAKA;SVETI MATEJ 10;135;32;32;31;1;7;5;16;3
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;GORNJA STUBICA;002;SVETI MATEJ II;PODRUÈNA ŠKOLA;SVETI MATEJ 128;341;154;154;149;5;40;40;63;6
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;GORNJA STUBICA;003;HUM STUBIÈKI;PODRUÈNA ŠKOLA;HUM STUBIÈKI 47;478;238;238;233;5;27;32;134;40
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;GORNJA STUBICA;004;DOBRI ZDENCI;PODRUÈNA ŠKOLA;DOBRI ZDENCI 24;303;164;164;159;5;6;42;85;26
