Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;DEMOKRATSKI HSS - DHSS, HRVATSKA STRANKA PRAVA - HSP, HRVATSKA STRANKA SVIH ÈAKAVACA KAJKAVACA I ŠTOKAVACA - HSSÈKŠ;DOMOVINSKI POKRET - DP;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  ROBERT GREBLIÈKI;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A - HSS, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, STRANKA UMIROVLJENIKA - SU, ZAGORSKA DEMOKRATSKA STRANKA - ZDS;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, NARODNA STRANKA - REFORMISTI - REFORMISTI, HRVATSKA SELJAÈKA STRANKA BRAÆE RADIÆ - HSS BRAÆE RADIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA STRANKA UMIROVLJENIKA - HSU;KANDIDACIJSKA LISTA GRUPE BIRAÈA -  VIKTOR ŠIMUNIÆ;ZAGORSKA STRANKA - ZS
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KLANJEC;003;GREDICE;VATROGASNI DOM GREDICE;GREDICE 29;295;158;158;153;5;2;5;1;35;9;99;0;2
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KLANJEC;004;NOVI DVORI KLANJEÈKI;KUÆA KRISTINE JAMBREŠIÆ;NOVI DVORI KLANJEÈKI 8;334;161;161;154;7;1;5;4;33;5;105;0;1
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KLANJEC;005;BRATOVSKI VRH;KUÆA RUDOLFA KOLEŠ;BRATOVSKI VRH 37;100;59;59;59;0;0;0;16;6;7;30;0;0
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KLANJEC;006;KLANJEC;VELIKA DVORANA GRADA KLANJCA;KLANJEC, TRG MIRA 11;232;112;112;109;3;2;8;3;16;9;70;1;0
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KLANJEC;007;RAKOVEC TOMAŠEVEÈKI;VATROGASNI DOM RAKOVEC;RAKOVEC TOMAŠEVEÈKI 17;290;129;129;129;0;13;6;11;29;2;66;2;0
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KLANJEC;008;LUÈELNICA TOMAŠEVEÈKA;OSNOVNA ŠKOLA LUÈELNICA;LUÈELNICA TOMAŠEVEÈKA 32;307;124;124;122;2;21;7;11;15;7;61;0;0
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KLANJEC;009;LETOVÈAN TOMAŠEVEÈKI;KUÆA STJEPANA HORVAT;LETOVÈAN TOMAŠEVEÈKI 5;105;46;46;45;1;2;2;3;5;0;33;0;0
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;001;DONJA ŠEMNICA;PODRUÈNA ŠKOLA DONJA ŠEMNICA;DONJA ŠEMNICA 287;719;324;324;309;15;2;25;5;138;44;82;8;5
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;002;LEPAJCI;PODRUÈNA ŠKOLA LEPAJCI;LEPAJCI 4;950;442;442;434;8;4;36;11;151;38;170;21;3
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;003;KRAPINA;PUÈKO OTVORENO UÈILIŠTE (PLAVI SALON);ŠETALIŠTE HRV.NARODNOG PREP. 13;806;408;408;393;15;2;31;6;110;28;170;42;4
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;004;KRAPINA;"OSNOVNA ŠKOLA ""LJUDEVIT GAJ"" KRAPINA";TRG STJEPANA RADIÆA 1;627;342;342;328;14;0;24;13;110;30;117;31;3
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;005;KRAPINA;"OSNOVNA ŠKOLA ""LJUDEVIT GAJ"" KRAPINA";TRG STJEPANA RADIÆA 1;387;176;176;173;3;1;15;4;62;11;60;17;3
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;006;KRAPINA;PUÈKO OTVORENO UÈILIŠTE (MALA DVORANA);ŠETALIŠTE HRVATSKOG NARODNOG PREPORODA 13;1024;555;555;542;13;6;36;9;198;35;207;43;8
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;007;KRAPINA;OSNOVNA ŠKOLA AUGUSTA CESARCA KRAPINA;ŠETALIŠTE I.VRENCEA 1;480;269;269;259;10;2;13;6;88;13;120;14;3
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;008;KRAPINA;OSNOVNA ŠKOLA AUGUSTA CESARCA KRAPINA;ŠETALIŠTE I.VRENCEA 1;455;269;269;257;12;1;21;4;71;19;113;25;3
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;009;PODGORA KRAPINSKA;PODRUÈNA ŠKOLA PODGORA KRAPINSKA;PODGORA KRAPINSKA 76;832;535;535;505;30;2;29;5;148;41;207;41;32
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;010;PODGORA KRAPINSKA;PODRUÈNA ŠKOLA PODGORA KRAPINSKA;PODGORA KRAPINSKA 76;306;206;206;197;9;2;18;5;82;13;67;5;5
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;011;ŽUTNICA;"UGOSTITELJSKI OBJEKT ""SIMBA""";ŽUTNICA 52 A;291;123;123;118;5;2;9;2;56;2;40;4;3
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;012;ŠUŠELJ BREG I TRŠKI VRH;PRIVATNA KUÆA IVANA CEROVEÈKI;TRŠKI VRH 87;336;164;164;155;9;2;7;3;44;26;58;9;6
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;013;MIHALJEKOV JAREK;PROSTORIJE MJESNOG ODBORA MIHALJEKOV JAREK;MIHALJEKOV JAREK 9 A;962;625;625;603;22;4;51;8;259;23;192;58;8
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;014;ŠKARIÆEVO;PROSTORIJA PODRUÈNE ŠKOLE ŠKARIÆEVO;ŠKARIÆEVO 84;529;205;205;204;1;7;15;2;108;8;62;1;1
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;015;LEPAJCI;PROSTORIJA PODRUÈNE ŠKOLE LEPAJCI;LEPAJCI 4;341;190;190;184;6;1;19;7;70;8;64;12;3
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;016;VIDOVEC KRAPINSKI;PROSTORIJA ZGRADE DRUŠTVENE NAMJENE;VIDOVEC KRAPINSKI BB (NASUPROT KAPELE KOD IGRALIŠTA);276;191;191;184;7;5;15;2;75;8;67;8;4
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;017;BOBOVJE;DRUŠTVENI DOM;BOBOVJE 43;582;296;296;288;8;1;26;2;140;22;74;17;6
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;KRAPINA;018;TKALCI;PRIVATNA KUÆA BRANKA BOÈKAJA;TKALCI 47;341;178;178;172;6;2;9;1;88;12;45;8;7
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;OROSLAVJE;001;OROSLAVJE;UDRUŽENJE UMIROVLJENIKA;ORO TRG 2;955;509;509;495;14;4;40;13;81;40;181;134;2
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;OROSLAVJE;002;OROSLAVJE;SREDNJA ŠKOLA OROSLAVJE;GAJEVA 1;880;462;462;453;9;5;29;4;111;19;171;113;1
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;OROSLAVJE;003;ANDRAŠEVEC;DRUŠTVENI DOM;ANDRAŠEVEC, BARLOVIÆEVA 2;766;353;353;350;3;5;24;6;49;43;138;82;3
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;OROSLAVJE;004;GORNJE OROSLAVJE;DRUŠTVENI DOM;STUBIÈKA CESTA 65;1079;545;545;529;16;18;51;5;111;18;183;142;1
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;OROSLAVJE;005;MOKRICE;DRUŠTVENI DOM;MOKRICE 89;667;373;373;369;4;10;32;7;89;12;137;80;2
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;OROSLAVJE;006;KRUŠLJEVO SELO;PODRUÈNA ŠKOLA;KRUŠLJEVO SELO 112;430;234;234;229;5;1;31;2;64;10;66;52;3
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;OROSLAVJE;007;STUBIÈKA SLATINA;DRUŠTVENI DOM;STUBIÈKA SLATINA 139;512;223;223;213;10;5;20;3;55;5;94;28;3
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;001;BENKOVO;PODRUÈNA ŠKOLA BENKOVO;BENKOVO 30;400;153;153;149;4;14;11;1;33;2;81;4;3
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;002;VALENTINOVO;U KUÆI ŽELJKA GOLUBIÆA;VALENTINOVO 8;307;159;159;155;4;10;12;2;21;5;102;3;0
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;003;CIGROVEC;U PROSTORIJAMA MJESNOG ODBORA U CIGROVCU;CIGROVEC 186/5;281;137;137;130;7;10;7;1;24;6;81;1;0
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;004;GORJAKOVO;PODRUÈNA ŠKOLA GORJAKOVO;GORJAKOVO 98;262;105;105;97;8;8;7;0;16;3;63;0;0
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;005;KOSTEL;PODRUÈNA ŠKOLA KOSTEL;KOSTEL 7;505;242;242;232;10;7;13;2;21;6;180;0;3
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;006;PLEMENŠÆINA;PRODAVAONICA U GORNJOJ PLEMENŠÆINI;GORNJA PLEMENŠÆINA 44/2;434;208;208;199;9;7;20;5;34;4;122;1;6
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;007;PREGRADA;GRADSKA VIJEÆNICA;JOSIPA KARLA TUŠKANA 2;962;455;455;434;21;13;48;9;96;11;235;13;9
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;008;PREGRADA;HOL UPRAVNE ZGRADE;JOSIPA KARLA TUŠKANA 2;936;394;394;383;11;16;28;1;62;10;248;18;0
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;009;SOPOT;PODRUÈNA ŠKOLA SOPOT;SOPOT 74;576;254;254;241;13;3;15;6;48;9;155;2;3
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;010;STIPERNICA;PODRUÈNA ŠKOLA STIPERNICA;STIPERNICA 11/2;224;99;99;94;5;5;5;2;32;1;48;1;0
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;PREGRADA;011;VINAGORA;PROSTORIJA MJESNOG ODBORA U VINAGORI;VINAGORA 13;394;136;136;128;8;4;12;0;27;1;82;0;2
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;001;ŠPIÈKOVINA;PODRUÈNA ŠKOLA ŠPIÈKOVINA;ŠPIÈKOVINA 16;635;292;292;284;8;4;16;10;45;10;167;25;7
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;002;DUBRAVA ZABOÈKA;DRUŠTVENI DOM KOD NOGOMETNOG IGRALIŠTA;DUBRAVA ZABOÈKA 3;530;270;270;262;8;2;15;17;29;15;155;24;5
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;003;GRDENCI;DRUŠTVENI DOM;GRDENCI 90;384;179;179;171;8;3;10;9;30;9;101;7;2
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;004;LUG ZABOÈKI;LUG ZABOÈKI 55O - KUÆICA NA DJEÈJEM IGRALIŠTU;LUG ZABOÈKI 55 O;889;470;470;461;9;1;42;16;89;15;266;29;3
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;005;ZABOK I;STARA ŠKOLA  (ZELENA DVORANA);TRG SV. JELENE 6;754;449;448;434;14;2;19;13;83;22;268;22;5
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;006;GRABROVEC;SPORTSKI DOM KOD IGRALIŠTA;ULICA GRABROVEC 12;494;254;254;249;5;4;17;4;33;19;156;10;6
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;007;ZABOK II;"PREDVORJE OŠ ""K.Š.GJALSKI""";ÐAÈKI PUT 1;639;354;354;348;6;5;15;9;55;17;190;47;10
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;008;ZABOK III;"PREDVORJE DVORANE HEP ODS D.O.O. ""ELEKTRA"" ZABOK";MATIJE GUPCA 57;812;480;480;456;24;1;34;5;105;12;246;42;11
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;009;ZABOK IV;DOM STRIJELACA;MATIJE GUPCA 112;293;165;165;163;2;1;15;5;25;7;95;13;2
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;010;REPOVEC;OMLADINSKI DOM;REPOVEC 45C;270;132;132;129;3;0;7;5;45;7;55;6;4
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;011;TISANIÆ JAREK;KUÆICA (KONTEJNER) NA DJEÈJEM IGRALIŠTU;TISANIÆ JAREK BB;348;156;156;152;4;0;23;6;34;12;67;10;0
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;012;JAKUŠEVEC ZABOÈKI;KUÆICA (KONTEJNER) NA DJEÈJEM IGRALIŠTU;JAKUŠEVEC ZABOÈKI BB;342;165;165;163;2;3;16;4;43;6;79;11;1
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;013;PAVLOVEC ZABOÈKI;DRUŠTVENI DOM;PAVLOVEC ZABOÈKI 48;519;254;254;244;10;2;12;5;56;13;133;15;8
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;014;MARTINIŠÆE;VATROGASNI DOM DVD GUBAŠEVO;MARTINIŠÆE 5;473;249;249;243;6;2;15;37;62;8;107;11;1
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;015;PROSENIK GUBAŠEVSKI;DRUŠTVENI DOM;PROSENIK GUBAŠEVSKI 25A;136;63;63;61;2;0;4;9;18;4;21;3;2
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZABOK;016;PROSENIK ZAÈRETSKI;DRUŠTVENI DOM;PROSENIK ZAÈERTSKI 69A;116;56;56;56;0;3;3;5;12;5;25;3;0
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZLATAR;001;ZLATAR;GRADSKA KNJIŽNICA;ZLATAR, ZAGREBAÈKA 2;1060;530;530;515;15;1;42;2;138;30;285;12;5
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZLATAR;002;ZLATAR;OSNOVNA ŠKOLA ANTE KOVAÈIÆA PREDVORJE;ZLATAR;991;501;500;489;11;3;51;2;107;14;291;13;8
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZLATAR;003;ZLATAR;PROSTORIJE AUTO KLUBA;ZLATAR, PARK HRVATSKE MLADEŽI 2;847;425;425;413;12;2;34;1;105;9;240;18;4
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZLATAR;004;PETRUŠEVEC;OSNOVNA ŠKOLA;PETRUŠEVEC;211;80;80;79;1;1;5;0;28;17;24;1;3
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZLATAR;005;BELEÈKO ZAVRŠJE;KUÆA BOŽIDARA HATZA;BELEÈKO ZAVRŠJE 11;332;111;111;107;4;4;14;0;34;7;48;0;0
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZLATAR;006;BELEC;VATROGASNI DOM;BELEC;810;361;361;354;7;2;23;0;153;38;133;3;2
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZLATAR;007;DONJA BATINA;OSNOVNA ŠKOLA;DONJA BATINA;279;115;115;112;3;1;5;1;23;8;73;1;0
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;grad;ZLATAR;008;MARTINŠÈINA;OSNOVNA ŠKOLA;MARTINŠÈINA;403;236;236;232;4;5;22;2;32;5;163;2;1
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BEDEKOVÈINA;001;POZNANOVEC;VATROGASNI DOM U POZNANOVCU;POZNANOVEC, ZAGORSKE BRIGADE 34;763;432;432;422;10;4;34;16;79;21;241;17;10
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BEDEKOVÈINA;002;LUG POZNANOVEÈKI;PROSTORIJE MJESNOG ODBORA;POZNANOVEC, ZAGORSKE BRIGADE 20 A;539;261;261;254;7;2;16;6;48;9;152;20;1
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BEDEKOVÈINA;003;KRIŽANÈE;DRUŠTVENI DOM;KRIŽANÈE 20B;112;55;55;54;1;0;3;1;9;3;34;3;1
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BEDEKOVÈINA;004;ŽIDOVINJAK;DRUŠTVENI DOM;ŽIDOVINJAK 9;141;78;78;77;1;2;5;0;17;9;42;2;0
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BEDEKOVÈINA;005;BEDEKOVÈINA;STARA ŠKOLA KOD GRGIÆA;BEDEKOVÈINA, STJEPANA RADIÆA 78;556;289;288;282;6;3;23;8;62;12;150;20;4
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BEDEKOVÈINA;006;BEDEKOVÈINA;VATROGASNI DOM BEDEKOVÈINA;STJEPANA RADIÆA 76A;751;460;460;449;11;1;21;4;154;22;220;19;8
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BEDEKOVÈINA;007;BEDEKOVÈINA;ZGRADA OPÆINE (DVORANA);BEDEKOVÈINA, TRG A. STARÈEVIÆA 4;921;485;485;474;11;3;25;15;87;16;292;27;9
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BEDEKOVÈINA;008;BEDEKOVÈINA;PROSTORIJA UDRUGE UMIROVLJENIKA;BEDEKOVÈINA, TRG A. STARÈEVIÆA 15;556;302;302;296;6;1;29;2;65;9;161;25;4
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BEDEKOVÈINA;009;KEBEL;VATROGASNI DOM;KEBEL 57 C;322;115;115;109;6;2;5;8;15;4;70;2;3
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BEDEKOVÈINA;010;OREHOVICA;PODRUÈNA ŠKOLA OREHOVICA;OREHOVICA 24;308;125;125;123;2;0;10;10;48;10;39;4;2
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BEDEKOVÈINA;011;BRESTOVEC OREHOVEÈKI;STARA ŠKOLA BRESTOVEC OREHOVIÈKI;BRESTOVEC OREHOVIÈKI 19;876;355;355;343;12;2;16;9;99;18;186;12;1
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BEDEKOVÈINA;012;GRABE;DRUŠTVENI DOM GRABE;GRABE 118B;271;107;107;102;5;5;3;2;22;6;59;3;2
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BEDEKOVÈINA;013;MARTINEC OREHOVIÈKI;DRUŠTVENI DOM;MARTINEC OREHOVIÈKI 19A;405;222;222;214;8;4;20;6;48;42;88;4;2
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BUDINŠÈINA;001;BUDINŠÈINA;ZGRADA OPÆINE;BUDINŠÈINA 6;474;202;202;196;6;5;8;2;79;13;82;5;2
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BUDINŠÈINA;002;KRAPINICA;DRUŠTVENI DOM KRAPINICA;KRAPINICA;192;82;82;80;2;5;6;2;30;0;36;1;0
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BUDINŠÈINA;003;GOTALOVEC;DRUŠTVENI DOM GOTALOVEC;GOTALOVEC;245;93;93;90;3;4;8;6;18;14;36;3;1
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BUDINŠÈINA;004;ZAJEZDA;DRUŠTVENI DOM ZAJEZDA;ZAJEZDA;245;89;89;86;3;1;1;1;31;13;38;1;0
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BUDINŠÈINA;005;GRTOVEC;KUÆA MARKA BRUÈIÆA;GRTOVEC 91;256;95;95;95;0;1;6;0;34;20;32;1;1
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BUDINŠÈINA;006;PAŽUROVEC;KUÆA STJEPANA SREMCA;PAŽUROVEC 15A;66;45;45;44;1;1;2;2;30;1;7;1;0
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BUDINŠÈINA;007;SVETI KRIŽ;DRUŠTVENI DOM SVETI KRIŽ;SVETI KRIŽ;107;49;49;47;2;2;6;1;22;3;12;1;0
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BUDINŠÈINA;008;PREPUŠTOVEC;KUÆA IVANA PLENARA;PREPUŠTOVEC 6/A;111;41;41;38;3;1;3;1;14;3;14;1;1
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;BUDINŠÈINA;009;PECE;DRUŠTVENI DOM;PECE;218;68;68;67;1;5;8;2;27;1;22;1;1
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;DESINIÆ;001;DESINIÆ;OPÆINA DESINIÆ;TRG SV. JURJA 7;847;418;418;396;22;6;25;9;141;5;200;6;4
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;DESINIÆ;002;VELIKA HORVATSKA;PODRUÈNA ŠKOLA VELIKA HORVATSKA;VELIKA HORVATSKA BB;462;197;197;185;12;2;17;4;70;5;84;1;2
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;DESINIÆ;003;JELENJAK;KUÆA OBITELJI KOMERIÈKI;JELENJAK 2;169;83;83;80;3;4;1;1;30;2;40;1;1
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;DESINIÆ;004;GOSTENJE;ZADRUŽNI DOM;GOSTENJE BB;172;72;72;67;5;0;3;2;34;0;25;1;2
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;DESINIÆ;005;TURNIŠÆE;LOVAÈKI DOM;TURNIŠÆE DESINIÆKO 13/2;171;68;68;63;5;0;7;0;21;1;33;1;0
02;KRAPINSKO-ZAGORSKA ŽUPANIJA;opæina;DESINIÆ;006;HUM KOŠNIÆKI;DVORAC VELIKI TABOR;HUM KOŠNIÆKI 1;282;112;112;106;6;0;6;2;27;6;63;0;2
